Catégorie,Question,Option 1,Option 2,Option 3,Réponse Correcte
Histoire,Qui fut le premier président du Togo ?,Sylvanus Olympio,Gnassingbé Eyadéma,Faure Gnassingbé,Sylvanus Olympio
Histoire,Quel pays colonisait le Togo avant la France ?,Allemagne,Portugal,Espagne,Allemagne
Histoire,En quelle année le Togo est-il devenu indépendant ?,1958,1960,1963,1960
Histoire,Quel traité a placé le Togo sous protectorat allemand ?,Traité de Togoville,Traité de Berlin,Traité de Lomé,Traité de Togoville
Histoire,Qui a signé le traité avec l'explorateur Gustav Nachtigal ?,Roi Mlapa III,Roi Agokoli,Roi Guezo,Roi Mlapa III
Histoire,Quelle ville fut la première capitale du Togo ?,Lomé,Aného,Kpalimé,Aného
Histoire,En quelle année Lomé est-elle devenue la capitale ?,1884,1897,1914,1897
Histoire,Quel était le nom du Togo sous colonisation allemande ?,Togoland,Dahomey,Gold Coast,Togoland
Histoire,Comment s'appelait le mouvement politique de Sylvanus Olympio ?,CUT,PTP,UNIR,CUT
Histoire,Quelle est la date de la fête de l'indépendance ?,27 avril,13 janvier,30 août,27 avril
Histoire,En quel siècle le Togo a-t-il été colonisé ?,XVIe siècle,XVIIIe siècle,XIXe siècle,XIXe siècle
Histoire,Quel roi togolais a résisté à la colonisation allemande ?,Roi Agoliagbo,Roi Agokoli,Roi Mlapa III,Roi Agokoli
Histoire,Quelle langue coloniale a d'abord dominé le Togo ?,Français,Allemand,Anglais,Allemand
Histoire,Quel événement a marqué le coup d'État de 1963 ?,Mort de Sylvanus Olympio,Élection de Eyadéma,Indépendance du Togo,Mort de Sylvanus Olympio
Histoire,Combien de time Gnassingbé Eyadéma a-t-il gouverné le Togo ?,15 ans,28 ans,38 ans,38 ans
Histoire,Quel était le régime politique du Togo entre 1972 et 1992 ?,Monarchie,Dictature militaire,Démocratie pluraliste,Dictature militaire
Histoire,En quel année la Deuxième République a-t-elle été proclamée ?,1979,1991,1992,1992
Histoire,Quel accord a marqué la fin de la colonisation française ?,Accord de Yaoundé,Accord de Loutres,Traité d'indépendance,Accord de Yaoundé
Histoire,Quelle était la capitale du Togo allemand ?,Petit-Popo,Kpalimé,Sokodé,Petit-Popo
Histoire,En quelle année Faure Gnassingbé a-t-il succédé à son père ?,2003,2005,2000,2005
Histoire,Quel parti politique a longtemps dominé la politique togolaise ?,RPT,UNIR,ADP,RPT
Histoire,Quelle révolte a éclaté en 1990 au Togo ?,Révolte populaire pour la démocratie,Révolte étudiante,Révolte militaire,Révolte populaire pour la démocratie
Histoire,Quel organisme international a observé l'indépendance du Togo ?,ONU,Ligue Arabe,Organisation de l'Unité Africaine,ONU
Histoire,En quel année a eu lieu la transition vers la démocratie ?,1990,1991,1992,1991
Histoire,Quel acte majeur symbolisa l'indépendance ?,Levée du drapeau togolais,Signature de la Constitution,Élection du premier président,Levée du drapeau togolais
Histoire,Qui était le ministre des Affaires Étrangères sous Eyadéma ?,Joseph Kokou Koffigoh,Agbeyome Kodjo,Yao Agboyibo,Joseph Kokou Koffigoh
Histoire,Quelle puissance européenne a soutenu la colonisation du Togo ?,Italie,Allemagne,Portugal,Allemagne
Histoire,En quel année le Togo a-t-il adopté le multipartisme ?,1990,1991,1992,1991
Histoire,Quel événement international a marqué 1963 ?,Conférence panafricaine,Coup d'État au Togo,Traité de l'OUA,Coup d'État au Togo
Histoire,Qui a été le Premier ministre pendant la transition ?,Joseph Kokou Koffigoh,Agbeyome Kodjo,Yao Agboyibo,Joseph Kokou Koffigoh
Histoire,Combien de constitutions le Togo a-t-il eues ?,2,3,5,3
Histoire,Quel chef militaire a pris le pouvoir en 1967 ?,Gnassingbé Eyadéma,Joseph Kokou Koffigoh,Agbeyome Kodjo,Gnassingbé Eyadéma
Histoire,En quel année Sylvanus Olympio a-t-il été assassiné ?,1961,1963,1965,1963
Histoire,Quelle était la situation économique du Togo à l'indépendance ?,Très prospère,Fragile,Bien développée,Fragile
Histoire,Quel traité a confirmé les frontières du Togo ?,Traité de Berlin,Traité de Versailles,Traité de Togoville,Traité de Berlin
Histoire,Quel parti politique a été créé après l'indépendance ?,UNIR,RPT,CUT,CUT
Histoire,Combien de présidents le Togo a-t-il eus depuis 1960 ?,2,3,4,3
Histoire,Qui était le chef de l'État-major sous Eyadéma ?,Agbeyome Kodjo,Joseph Kokou Koffigoh,Gnassingbé Eyadéma,Gnassingbé Eyadéma
Histoire,En quel année a été promulguée la Charte de la transition ?,1990,1991,1992,1991
Histoire,Quelle ville a accueilli la conférence nationale ?,Lomé,Sokodé,Kara,Lomé
Histoire,Quel système politique a succédé au monopartisme ?,Multipartisme,Socialisme,Monarchie,Multipartisme
Histoire,En quel année le Togo a-t-il ratifié la Charte africaine ?,1982,1985,1988,1982
Histoire,Qui a présidé la conférence nationale de 1991 ?,Kofi Annan,Justice Côtévi Ocloo,Ban Ki-moon,Justice Côtévi Ocloo
Histoire,Quelle est la date exacte de l'indépendance du Togo ?,27 avril 1960,24 avril 1960,30 avril 1960,27 avril 1960
Histoire,Quel événement a marqué le début du régime d'Eyadéma ?,Coup d'État,Élection,Révolte,Coup d'État
Histoire,En quel année le Togo a-t-il adhéré à la Francophonie ?,1970,1975,1980,1970
Histoire,Quel était le statut du Togo avant 1960 ?,Colonie française,Protectorat français,Territoire sous tutelle de l'ONU,Territoire sous tutelle de l'ONU
Histoire,Quelle institution a géré le Togo entre 1956 et 1960 ?,Assemblée législative,Gouvernement autonome,Conseil de tutelle,Gouvernement autonome

Géographie,Quelle ville est connue pour son café ?,Kpalimé,Kara,Dapaong,Kpalimé
Géographie,Quel est le point culminant du Togo ?,Mont Agou,Mont Korogo,Mont Malfacassa,Mont Agou
Géographie,Quel fleuve traverse le nord du Togo ?,L'Oti,Le Mono,L'Haho,L'Oti
Géographie,Combien de régions administratives compte le Togo ?,3,5,7,5
Géographie,Quelle est la région la plus au nord du Togo ?,Région de la Kara,Région des Savanes,Région Centrale,Région des Savanes
Géographie,Quel pays fait frontière à l'Ouest du Togo ?,Bénin,Ghana,Burkina Faso,Ghana
Géographie,Dans quelle région se trouve la ville d'Atakpamé ?,Maritime,Plateaux,Centrale,Plateaux
Géographie,Quel lac est le plus grand du pays ?,Lac Togo,Lac Nangbéto,Lac Victoria,Lac Togo
Géographie,Quelle ville est le chef-lieu de la région de la Kara ?,Sokodé,Kara,Bassar,Kara
Géographie,Quel port togolais est le seul port en eau profonde de la sous-région ?,Port de Kpémé,Port de Lomé,Port d'Aného,Port de Lomé
Géographie,Quelle est la latitude approximative de Lomé ?,6° Nord,8° Nord,10° Nord,6° Nord
Géographie,Quel océan borde le Togo ?,Océan Atlantique,Océan Indien,Océan Pacifique,Océan Atlantique
Géographie,Quelle est la plus longue frontière du Togo ?,Avec la Côte d'Ivoire,Avec le Ghana,Avec le Bénin,Avec le Ghana
Géographie,Quel pays est au nord-est du Togo ?,Burkina Faso,Niger,Mali,Burkina Faso
Géographie,Combien de kilomètres fait la côte togolaise ?,56 km,120 km,200 km,56 km
Géographie,Quelle région est la plus peuplée du Togo ?,Maritime,Plateaux,Kara,Maritime
Géographie,Quel est le climat dominant du Togo ?,Tropical humide,Désertique,Équatorial,Tropical humide
Géographie,Dans quelle région se situe Dapaong ?,Région de la Kara,Région des Savanes,Région Centrale,Région des Savanes
Géographie,Quel fleuve sépare le Togo du Bénin ?,Le Mono,L'Oti,Le Volta,Le Mono
Géographie,Quelle est la capitale régionale des Plateaux ?,Atakpamé,Kpalimé,Badou,Atakpamé
Géographie,Quel est le plus long fleuve du Togo ?,Le Mono,L'Oti,L'Haho,Le Mono
Géographie,Combien de régions côtières compte le Togo ?,1,2,3,1
Géographie,Quelle est la ville la plus au sud du Togo ?,Aného,Lomé,Kpalimé,Aného
Géographie,Quel est le relief dominant du Togo ?,Plaines,Plateaux,Montagnes,Plateaux
Géographie,Dans quelle région se trouve le Mont Agou ?,Plateaux,Maritime,Kara,Plateaux
Géographie,Quel pays fait frontière au sud du Togo ?,Ghana,Bénin,Côte d'Ivoire,Ghana
Géographie,Quelle est la végétation principale du sud ?,Savane,Forêt dense,Mangrove,Forêt dense
Géographie,Combien de km² mesure le Togo environ ?,56 600,48 300,65 000,56 600
Géographie,Quel est le point le plus bas du Togo ?,Le niveau de la mer,Vallée du Mono,Vallée de l'Oti,Le niveau de la mer
Géographie,Dans quelle région se situe Kpalimé ?,Plateaux,Maritime,Kara,Plateaux
Géographie,Quel lac est un barrage hydroélectrique ?,Lac Nangbéto,Lac Togo,Lac Volta,Lac Nangbéto
Géographie,Quelle île togolaise est connue pour ses tortues ?,Île Pigeon,Île Kodjoviakopé,Île Émerald,Île Pigeon
Géographie,Quel climat caractérise le nord du Togo ?,Tropical sec,Tropical humide,Équatorial,Tropical sec
Géographie,Quelle est la profondeur moyenne de la côte togolaise ?,10 mètres,20 mètres,50 mètres,20 mètres
Géographie,Quel est le port principal pour l'exportation de phosphate ?,Port de Kpémé,Port de Lomé,Port d'Aného,Port de Kpémé
Géographie,Dans quelle région se trouve Badou ?,Plateaux,Maritime,Kara,Plateaux
Géographie,Quel fleuve alimente le Lac Nangbéto ?,Le Mono,L'Oti,L'Haho,Le Mono
Géographie,Quelle est la population approximative du Togo ?,6 millions,8 millions,10 millions,8 millions
Géographie,Quel est le plus grand plateau du Togo ?,Plateau Akposso,Plateau de l'Atacora,Plateau des Monts-Lomé,Plateau Akposso
Géographie,Dans quelle région se situe Sokodé ?,Centrale,Kara,Plateaux,Centrale

Culture,Quel aliment accompagne souvent la sauce au Togo ?,Pâte,Riz,Pain,Pâte
Culture,Comment appelle-t-on la fête traditionnelle des Guen à Aného ?,Evala,Ekpé-Ekpé,Agbogbo-Zan,Ekpé-Ekpé
Culture,Quelle est la fête des moissons en pays Ewé ?,Agbogbo-Zan,Odon-Itsou,Gadao,Agbogbo-Zan
Culture,Quel instrument traditionnel est typique de la région de la Kara ?,Le piano,Le lithophone (pierres sonnantes),La flûte traversière,Le lithophone (pierres sonnantes)
Culture,Quelle langue est majoritairement parlée au Sud ?,Le Kabyè,L'Ewé,Le Kotokoli,L'Ewé
Culture,Quelle est la spécialité culinaire à base de haricots et de riz ?,Ayimolou,Foufou,Wartchè,Ayimolou
Culture,Quel site est inscrit au patrimoine mondial de l'UNESCO ?,Koutammakou,Cascade de Kpimé,Faille d'Aledjo,Koutammakou
Culture,Les maisons traditionnelles "Takienta" sont faites en quel matériau ?,Béton,Terre (argile),Bois,Terre (argile)
Culture,Comment appelle-t-on les luttes traditionnelles en pays Kabyè ?,Kamaka,Evala,Akpéma,Evala
Culture,Quel vêtement traditionnel est souvent porté lors des grandes cérémonies ?,Le Kente,Le Pagne (Kenté/Lamba),Le Boubou,Le Pagne (Kenté/Lamba)
Culture,Quel peuple togolais est réputé pour ses tissus batik ?,Les Kabyè,Les Ewe,Les Kotokoli,Les Ewe
Culture,Quelle danse traditionnelle est caractéristique du pays Kabyè ?,Gadao,Akpema,Kamaka,Akpema
Culture,Quel aliment traditionnel est à base de maïs et cacahuète ?,Amenkoudi,Ayimolou,Wartchè,Amenkoudi
Culture,Qui est le plus célèbre griot togolais ?,Agbéko Kouma,Kossi Agassa,Yao Komlavi,Agbéko Kouma
Culture,Quelle est la principale musique traditionnelle du Togo ?,Adowa,Agbogbo,Evala,Adowa
Culture,Quel art martial traditionnel existe au Togo ?,Lutte Evala,Karaté,Boxe,Lutte Evala
Culture,Quel plat togolais est à base de cacahuète ?,Sauce d'arachide,Foufou,Wartchè,Sauce d'arachide
Culture,Comment appelle-t-on le toit traditionnel Kabyè ?,Takienta,Dwoè,Akoudou,Takienta
Culture,Quelle cérémonie traditionnelle marque l'arrivée d'un enfant ?,Circoncision,Baptême traditionnel,Intronisation,Baptême traditionnel
Culture,Quel instrument de musique est utilisé dans l'évala ?,Le tam-tam,Le lithophone,La trompette,Le tam-tam
Culture,Quelle est la fête des récoltes chez les Kabyè ?,Gadao,Agbogbo-Zan,Adowa,Gadao
Culture,Quel type de masque existe dans les traditions togolaises ?,Masque Gouro,Masque Gélédé,Masque Kabyè,Masque Kabyè
Culture,Quel style vestimentaire caractérise les femmes Ewé ?,Pagne court,Longue robe,Boubou ample,Pagne court
Culture,Quel est le rôle du griot dans la société togolaise ?,Guérisseur,Conteur et historien,Guerrier,Conteur et historien
Culture,Quelle plante est sacrée dans la culture togolaise ?,Le baobab,Le palmier,Le manguier,Le baobab
Culture,Comment s'appelle la teinture traditionnelle au Togo ?,Batik,Mudcloth,Indigo,Batik
Culture,Quel événement familial dure plusieurs jours au Togo ?,Mariage,Naissance,Déménagement,Mariage
Culture,Quel aliment est considéré comme de luxe au Togo ?,Poulet,Riz blanc,Viande de brousse,Viande de brousse
Culture,Quelle est l'importance de la dot dans le mariage togolais ?,Très importante,Peu importante,Pas importante,Très importante
Culture,Quel style de danse est lié à la fête Agbogbo-Zan ?,Adowa,Gumbe,Highlife,Adowa
Culture,Quel peuple togolais vit dans les montagnes ?,Les Kabyè,Les Ewe,Les Kotokoli,Les Kabyè
